SiteId,UnitId,ReadDate,Salinity in ppt,Dissolved Oxygen milligram per lit,pH ,Secchi Depth meters,Water Depth meters,Water Temp Celsius,Air Temp Celsius,Air Temp Fahrenheit,Time 24 clcok,Field Technician,DateVerified,WhoVerified
Bay,,04-02-1990,1.8,9.6,8,0.15,0.7,5,,59,0,"J Phillips, Mary Feldman",,
Bay,,04-09-1990,4.1,10.8,7,0.25,0.78,11,,53.6,14.24,"J Phillips, Mary Feldman",,
Bay,,4/16/1990,2.5,9.7,7,0.25,0.72,15,,57.2,4.48,"J Phillips, Mary Feldman",,
Bay,,4/23/1990,2.8,10.7,7,0.25,0.59,15,,59,0,"J Phillips, Mary Feldman",,
Bay,,4/30/1990,3.2,10,7,0.88,1.3,18,,60.8,19.12,"J Phillips, Mary Feldman",,
Bay,,05-07-1990,4.5,8.9,7,0.25,0.75,17,,64.4,9.36,"J Phillips, Mary Feldman",,
Bay,,5/14/1990,3.7,8.4,7,0.32,1,20,,66.2,4.48,"J Phillips, Mary Feldman",,
Bay,,5/21/1990,2.9,,7,0.25,0.99,22,,76.1,2.24,"J Phillips, Mary Feldman",,
Bay,,5/29/1990,2.1,8.9,7,0.375,0.95,19,,68,0,"J Phillips, Mary Feldman",,
Bay,,06-04-1990,3.5,6.9,7,0.4,1.22,24,,77,0,"J Phillips, Mary Feldman",,
Bay,,06-11-1990,3.2,7.9,7,0.35,0.75,24,,71.6,14.24,"J Phillips, Mary Feldman",,
Bay,,6/16/1990,3.2,7.7,7,0.32,0.62,23.5,,68,0,"J Phillips, Mary Feldman",,
Bay,,6/24/1990,3.8,7.9,7,0.35,0.91,26,,78.8,19.12,"J Phillips, Mary Feldman",,
Bay,,07-02-1990,3.7,7.8,7,0.35,0.78,24,,74.3,7.12,"J Phillips, Mary Feldman",,
Bay,,07-09-1990,4.2,7.5,7.5,0.3,0.82,26,,79.7,16.48,"J Phillips, Mary Feldman",,
Bay,,7/16/1990,3.9,7.5,7,0.375,1.25,26.5,,,12,"J Phillips, Mary Feldman",,
Bay,,7/26/1990,4.2,6.9,7.75,0.375,0.48,27,,78.8,19.12,"J Phillips, Mary Feldman",,
Bay,,08-06-1990,4.2,7.7,8,0.4,0.98,26,,78.8,19.12,"J Phillips, Mary Feldman",,
Bay,,8/13/1990,4.2,7.8,8,0.35,0.82,27,,80.6,14.24,"J Phillips, Mary Feldman",,
Bay,,8/27/1990,4.2,8.9,8,0.35,0.94,27,,83.3,7.12,"J Phillips, Mary Feldman",,
Bay,,09-04-1990,2.9,8.1,8,0.25,0.68,23,,75.2,4.48,"J Phillips, Mary Feldman",,
Bay,,9/17/1990,2.4,8.8,8,0.25,0.78,21,,64.4,9.36,"J Phillips, Mary Feldman",,
Bay,,10/15/1990,3.5,8.2,8,0.3,0.93,23,,71.6,14.24,"J Phillips, Mary Feldman",,
Bay,,10/29/1990,0.7,12.5,8,0.1,0.38,9,,50,0,"J Phillips, Mary Feldman",,
Bay,,12/17/1990,0.5,11.05,7.5,0.25,0.6,8,,46.4,9.36,"J Phillips, Mary Feldman",,
Bay,,01-07-1991,0.7,11.8,8,0.2,0.39,9,,46.4,9.36,Feldman,,
Bay,,1/14/1991,0.4,12.2,8,0.2,0.65,4.5,,39.2,4.48,Feldman,,
Bay,,1/24/1991,0.5,13.2,7.5,0.2,0.65,4.5,,40.1,2.24,Feldman,,
Bay,,01-03-1991,0.5,11.9,7.5,0.25,0.78,9,,51.8,19.12,Feldman,,
Bay,,02-04-1991,0.9,,7.5,0.25,0.7,9,,50.9,21.36,Feldman,,
Bay,,02-11-1991,0.7,11.1,7.5,0.3,0.41,7.5,,46.4,9.36,Feldman,,
Bay,,2/21/1991,1.2,10.8,7.5,0.2,0.72,12,,50.9,21.36,Feldman,,
Bay,,2/25/1991,0.7,11.8,7.5,0.2,0.28,8,,46.4,9.36,Feldman,,
Bay,,03-04-1991,1.2,10,7.5,0.2,1.6,15,,60.8,19.12,Feldman,,
Bay,,03-11-1991,0.4,12.9,7.5,0.15,0.35,6,,39.2,4.48,Feldman,,
Bay,,3/18/1991,,9.95,7.7,0.25,0.69,11,,57.2,4.48,Feldman,,
Bay,,3/25/1991,0,9.8,8,0.275,0.94,14,,55.4,9.36,Feldman,,
Bay,,04-04-1991,1.2,10.7,8,0.32,0.78,13,,57.2,4.48,Feldman,,
Bay,,04-08-1991,2.1,8.7,8,0.32,0.83,19,,69.8,19.12,Feldman,,
Bay,,4/15/1991,1.2,8.9,7.5,0.32,0.52,14,,59.9,21.36,Feldman,,
Bay,,4/22/1991,0.9,9.75,7.5,0.2,0.55,12.5,,55.4,9.36,Feldman,,
Bay,,4/29/1991,2.4,8.3,7.5,0.35,0.8,20.5,,64.4,9.36,Feldman,,
Bay,,05-06-1991,2.6,8,7.5,0.35,0.95,21,,74.3,7.12,Feldman,,
Bay,,5/20/1991,1.3,9.5,7.5,0.3,0.5,15.5,,59,0,Feldman,,
Bay,,06-10-1991,3,6.9,7.5,0.3,0.7,23,,78.8,19.12,Feldman,,
Bay,,6/17/1991,3.8,6.8,7.5,0.325,1.09,26,,80.6,14.24,Feldman,,
Bay,,6/26/1991,2.8,8.1,7.5,0.25,0.7,21,,70.7,16.48,Feldman,,
Bay,,07-09-1991,1.8,7.8,7.5,0.35,0.95,28,,85.1,2.24,Feldman,,
Bay,,7/15/1991,0,8,7.5,0.99,0.375,27.5,,82.4,9.36,Feldman,,
Bay,,7/25/1991,,7.8,7,0.4,0.925,29,,84.2,4.48,Feldman,,
Bay,,08-02-1991,0.7,8,7.5,0.35,1.025,24.5,,79.7,16.48,Feldman,,
Bay,,08-09-1991,,8.4,8,0.35,1.025,27,,84.2,4.48,Feldman,,
Bay,,8/16/1991,,8.8,8,0.38,1.01,25,,78.8,19.12,Feldman,,
Bay,,8/23/1991,,7.8,8,0.375,0.88,26,,82.4,9.36,Feldman,,
Bay,,8/30/1991,,7.8,8,,,26,,81.5,12,Feldman,,
Bay,,09-06-1991,,7.7,8,0.375,0.9,25,,76.1,2.24,Feldman,,
Bay,,9/13/1991,,8.2,8,0.2,0.37,22.5,,77,0,Feldman,,
Bay,,9/23/1991,1.8,8.5,8,0.31,0.52,20,,69.8,19.12,Feldman,,
Bay,,10-04-1991,3.5,7.7,7.5,0.28,0.7,21,,71.6,,Feldman,,
Bay,,10/17/1991,9,9.7,7.5,0.2,0.65,13,,51.8,19.12,Feldman,,
Bay,,10/31/1991,2.5,9.2,7.5,,1.5,13,,59,0,Feldman,,
Bay,,11-07-1991,4.7,10.2,7.7,0.25,0.75,13,,56.3,7.12,Feldman,,
Bay,,11/14/1991,6.2,11.3,7,0.15,0.8,12,,56.3,7.12,Feldman,,
Bay,,11/21/1991,2.6,9.1,7,0.15,0.85,17,,67.1,2.24,Feldman,,
Bay,,11/29/1991,3.3,10.8,7.5,0.25,0.6,12,,59,0,Feldman,,
Bay,,12-09-1991,2,10.4,7.5,0.15,0.25,10,,59,0,Feldman,,
Bay,,12/20/1991,1.4,15.1,8,0.2,0.3,2,,35.6,14.24,Feldman,,
Bay,,12/27/1991,2.9,11.6,7.5,0.35,0.49,7,,44.6,14.24,Feldman,,
Bay,,01-03-1992,2,11.8,7.5,0.28,0.45,10,,53.6,14.24,Feldman,,
Bay,,01-09-1992,2.2,11.3,7.5,0.3,0.99,7.5,,49.1,2.24,Feldman,,
Bay,,1/20/1992,1.4,12.6,7,0.2,0.58,2,,32.9,21.36,Feldman,,
Bay,,1/30/1992,1.6,11.6,7,0.25,0.48,6,,43.7,16.48,Feldman,,
Bay,,02-10-1992,2.4,14.2,7,0.25,0.3,3,,39.2,4.48,Feldman,,
Bay,,2/17/1992,2,11.1,7,0.15,0.68,10,,44.6,14.24,Feldman,,
Bay,,2/23/1992,2.4,10,7.5,0.15,0.68,12.5,,54.5,12,Feldman,,
Bay,,03-02-1992,2.9,11.3,8,0.2,0.8,13,,59.9,21.36,Feldman,,
Bay,,03-09-1992,3.5,10,7.5,0.25,0.75,16,,64.4,9.36,Feldman,,
Bay,,3/16/1992,2.8,,7,0.15,0.48,3,,30,0,Feldman,,
Bay,,3/23/1992,2.9,11.6,7.5,0.05,0.35,3,,44.6,14.24,Feldman,,
Bay,,04-06-1992,3,11,7.5,0.25,0.42,9,,50,0,Feldman,,
Bay,,4/13/1992,3.8,10.6,7.5,0.1,0.5,13,,45.5,12,Feldman,,
Bay,,4/20/1992,4.7,9.4,7,0.2,0.78,17,,55.4,9.36,Feldman,,
Bay,,4/27/1992,3.7,9.6,7,0.35,0.65,14,,55.49,11.45,Feldman,,
Bay,,05-05-1992,3.8,8.9,7.5,0.2,0.6,15.5,,50,0,Feldman,,
Bay,,05-11-1992,4.2,9.2,7.5,0.3,0.7,17.5,,62.6,14.24,Feldman,,
Bay,,5/18/1992,3.9,9,7.5,0.3,0.65,,,75.2,4.48,Feldman,,
Bay,,06-01-1992,5,9.4,7,0.4,0.9,20,,68.9,21.36,Feldman,,
Bay,,06-08-1992,4.3,7.9,7,0.4,1.05,27.5,,84.2,4.48,Feldman,,
Bay,,6/15/1992,5.1,7.8,8,0.4,0.8,25,,84.2,4.48,Feldman,,
Bay,,6/22/1992,4.7,9,7.5,0.45,0.68,19,,64.4,9.36,Feldman,,
Bay,,6/29/1992,4.5,0.8,7.5,0.4,0.8,26,,78.8,19.12,Feldman,,
Bay,,07-06-1992,4.3,7.5,7.5,0.45,1,25,,75.2,4.48,Feldman,,
Bay,,7/13/1992,5.1,7.3,7.5,0.35,0.95,28.5,,87.8,19.12,Feldman,,
Bay,,7/27/1992,5.1,7.6,8,0.35,0.95,28,,86.9,21.36,Feldman,,
Bay,,08-03-1992,4.5,8,8,0.3,0.85,26,,78.8,19.12,Feldman,,
Bay,,08-07-1992,4.7,8,8,0.33,0.6,23,,77,0,Feldman,,
Bay,,8/14/1992,4.7,7.1,7.5,0.4,0.95,24.5,,71.6,14.24,Feldman,,
Bay,,8/23/1992,3.9,8.5,8,0.4,0.8,24.5,,78.8,19.12,Feldman,,
Bay,,8/31/1992,4.3,7.7,7.5,0.3,1,23,,77,0,Feldman,,
Bay,,9/14/1992,4.8,9.2,8,0.38,0.38,19.5,,71.6,14.24,Feldman,,
Bay,,9/20/1992,4.3,7.6,7.5,0.35,0.8,23.5,,75.2,4.48,Feldman,,
Bay,,9/27/1992,5.4,9.8,8,0.25,0.45,24,,79.7,16.48,Feldman,,
Bay,,10-05-1992,3.9,9.2,7.5,0.1,0.15,16,,62.6,14.24,Feldman,,
Bay,,10/19/1992,4.1,9.8,7.5,0.1,1,12,,50,0,Feldman,,
Bay,,10/26/1992,4.2,10.6,7,0.3,0.63,12.5,,55.4,9.36,Feldman,,
Bay,,11-02-1992,3.4,10.6,7.5,0.35,0.65,16.5,,63.5,12,Feldman,,
Bay,,11-09-1992,1.7,11.3,7.5,,0.4,9,,50,0,Feldman,,
Bay,,11/16/1992,3.9,11,7.5,0.4,0.55,7.5,,41.9,21.36,Feldman,,
Bay,,11/23/1992,3.9,9,7.85,0.25,0.85,18.5,,70.7,16.48,Feldman,,
Bay,,11/30/1992,3.7,10.9,7.5,0.55,0.7,9,,46.4,9.36,Feldman,,
Bay,,12/17/1992,4.1,10.8,7,0.15,0.5,12,,59.9,21.36,Feldman,,
Bay,,12/20/1992,3.8,10.1,7,0.25,0.85,10.5,,50.9,21.36,Feldman,,
Bay,,12/27/1992,4.7,13.2,7,0.25,0.45,5.5,,41.9,21.36,Feldman,,
Bay,,01-04-1993,3.7,11,7,0.35,0.5,8,,60.8,19.12,Feldman,,
Bay,,01-11-1993,3.5,11.9,7,0.25,0.25,9,,44.6,14.24,Feldman,,
Bay,,1/24/1993,3.3,10.5,7,0.3,0.95,10.5,,58.1,2.24,Feldman,,
Bay,,02-01-1993,2.9,12,7,0.2,0.85,6,,49.1,2.24,Feldman,,
Bay,,02-08-1993,3.4,12.6,7,0.1,0.3,5,,41.9,21.36,Feldman,,
Bay,,2/16/1993,3.5,12.4,7,0.3,0.75,8,,53.6,14.24,Feldman,,
Bay,,2/22/1993,2.9,12.7,7,0.1,0.85,8,,59,0,Feldman,,
Bay,,03-08-1993,3.9,10.7,7,0.1,1.15,10,,56.3,7.12,Feldman,,
Bay,,3/15/1993,3.4,12.8,7,0.5,1.7,2.5,,34.7,16.48,Feldman,,
Bay,,3/22/1993,3.3,11.2,7,0.15,0.4,10,,51.8,19.12,Feldman,,
Bay,,3/29/1993,3,10,7,0.5,0.7,14.5,,54.5,12,Feldman,,
Bay,,04-01-1993,2.9,9.5,,0.55,3.1,17.5,,68.9,21.36,Feldman,,
Bay,,04-05-1993,2.5,10,7,0.35,0.8,10,,44.6,14.24,Feldman,,
Bay,,04-12-1993,2.5,9.7,7,0.3,1,15.5,,60.8,10.15,Feldman,,
Bay,,4/19/1993,3,10,7,0.3,1.15,14.5,,53.6,14.24,Feldman,,
Bay,,4/26/1993,3.4,8.7,7,0.3,1.2,19,,69.8,19.12,Feldman,,
Bay,,05-10-1993,3.2,8,7,0.4,0.85,21,,69.8,19.12,Feldman,,
Bay,,5/17/1993,3.9,8,7,0.5,1,24,,77,0,Feldman,,
Bay,,5/24/1993,2.9,9,7,0.3,0.85,20,,71.6,14.24,Feldman,,
Bay,,06-07-1993,3.7,,7,0.45,0.75,23,,72.5,12,Feldman,,
Bay,,6/14/1993,3.9,8.1,7,0.45,0.45,21.5,,68.9,21.36,Feldman,,
Bay,,6/21/1993,3.8,7.2,7,0.55,1,26.5,,80.6,14.24,Feldman,,
Bay,,6/28/1993,3.9,7.1,7,0.55,0.8,26.5,,86,0,Feldman,,
Bay,,07-05-1993,,7.4,7.5,0.55,0.8,30,,88.7,16.48,Feldman,,
Bay,,7/19/1993,4.2,7.3,7.5,0.45,0.75,27,,81.5,12,Feldman,,
Bay,,7/26/1993,,7.5,7.5,0.5,0.7,28,,85.1,2.24,Feldman,,
Bay,,08-02-1993,3.9,8,8,0.4,0.8,26.5,,86,0,Feldman,,
Bay,,08-09-1993,3.5,9.1,8,0.3,0.55,25.5,,79.7,16.48,Feldman,,
Bay,,09-06-1993,,7.2,,0.35,0.85,25.5,,81.5,12,Feldman,,
Bay,,9/13/1993,,7.8,7,0.2,0.75,24,,82.4,9.36,Feldman,,
Bay,,9/20/1993,,8.5,8,0.2,0.6,21.5,,74.3,7.12,Feldman,,
Bay,,9/27/1993,1.8,7.2,7.9,0.4,0.95,24.5,,76.1,2.24,Feldman,,
Bay,,10-04-1993,,9.3,8.3,0.35,0.65,19,,68,0,Feldman,,
Bay,,10-12-1993,1.5,8.8,7.8,0.3,0.5,16.5,,59,0,Feldman,,
Bay,,10/18/1993,1.5,8.8,7.7,0.35,0.75,18,,64.94,22.33,Feldman,,
Bay,,10/25/1993,1.8,10.6,8.4,0.4,0.6,15.6,,66.02,0.28,Feldman,,
Bay,,11-08-1993,1.5,8.2,7.5,0.35,0.55,9.8,,52.34,8.09,Feldman,,
Bay,,11/15/1993,1.4,9.6,7.9,0.4,0.8,17.3,,72.5,12,Feldman,,
Bay,,11/29/1993,1.5,9.4,7.1,0.2,0.55,12.1,,50.9,21.36,Feldman,,
Bay,,12-06-1993,1.5,9.8,7.4,0.25,0.75,10.5,,48.74,17.45,Feldman,,
Bay,,12/13/1993,1.5,13,7.6,0.25,0.45,1.3,,41.9,21.36,Feldman,,
Bay,,12/28/1993,1.5,12.1,7.1,0.3,0.7,3.8,,39.74,17.45,Feldman,,
Bay,,1/16/1995,3,8.5,7.4,0.25,0.85,13.5,,61.7,16.48,Feldman,,
Bay,,1/23/1995,3,10.75,7.1,0.2,0.7,4.5,,46.4,9.36,Feldman,,
Bay,,2/13/1995,3,12.5,6.8,0.2,0.25,2,,29.3,7.12,Feldman,,
Bay,,03-06-1995,2.4,9.3,7.1,0.2,0.2,9.5,,46.4,9.36,Feldman,,
Bay,,3/13/1995,2.4,9.9,6.9,0.28,0.65,11.5,,59.9,N/A,Feldman,,
Bay,,3/20/1995,2.8,8.9,7.1,0.35,0.45,12.5,,54.5,12,Feldman,,
Bay,,3/27/1995,2.4,9,7.1,0.25,0.45,11,,53.6,14.24,Feldman,,
Bay,,04-03-1995,2.4,9.3,7.1,0.4,0.55,11.5,,54.5,12,Feldman,,
Bay,,04-10-1995,3.2,8.5,7.1,0.25,0.7,15,,48.2,4.48,Feldman,,
Bay,,4/18/1995,3,9,7.1,0.25,0.5,16,,58.1,2.24,Feldman,,
Bay,,4/24/1995,3,9.7,7.4,0.25,0.55,12.5,,50,0,Feldman,,
Bay,,05-01-1995,3.2,8.9,7.2,0.3,0.6,15,,52.7,16.48,Feldman,,
Bay,,5/15/1995,3.3,6.8,6.8,0.3,0.55,21.5,,74.3,7.12,Feldman,,
Bay,,5/22/1995,3.3,6.8,6.8,0.3,0.55,21.5,,74.3,7.12,Feldman,,
Bay,,5/29/1995,3.5,8.5,7.5,0.4,0.4,22,,80.6,14.24,Feldman,,
Bay,,06-05-1995,4,7.8,7.6,0.3,0.3,25,,73.4,9.36,Feldman,,
Bay,,06-12-1995,3.5,7.7,7.9,0.4,0.9,26.5,,77.9,21.36,Feldman,,
Bay,,6/19/1995,3.2,7.7,8,0.4,0.55,25,,75.2,4.48,Feldman,,
Bay,,6/26/1995,4,8.8,8.3,0.5,0.8,28.5,,82.4,9.36,Feldman,,
Bay,,07-03-1995,4,8,,0.45,0.8,26,,80.6,N/A,Feldman,,
Bay,,07-10-1995,4,7,7.9,0.35,0.7,26,,79.7,16.48,Feldman,,
Bay,,7/17/1995,4,7,8,0.45,1,30,,84.2,4.48,Feldman,,
Bay,,7/24/1995,4.5,7.2,8.4,0.55,0.9,32,,92.3,7.12,Feldman,,
Bay,,7/31/1995,4.5,7.6,8.1,0.5,0.8,29.5,,84.2,4.48,Feldman,,
Bay,,08-07-1995,4.5,8.7,8.2,0.5,0.6,24,,71.6,14.24,Feldman,,
Bay,,8/22/1995,5.5,7.4,8.8,0.3,0.5,25,,81.5,12,Feldman,,
Bay,,8/29/1995,4.5,9.9,8.7,0.35,0.65,25.5,,78.8,,Feldman,,
Bay,,09-05-1995,4.8,10.5,9,0.3,0.75,26,,80.6,14.24,Feldman,,
Bay,,09-12-1995,4.5,10.4,9.2,0.3,0.7,24.5,,80.6,14.24,Feldman,,
Bay,,9/28/1995,4.8,9.5,8.7,0.3,0.7,21,,75.2,4.48,Feldman,,
Bay,,10-05-1995,4.4,9.9,7.2,0.3,0.45,15.5,,62.96,23.02,Feldman,,
Bay,,10-06-1995,5,8.9,8.5,0.45,1.15,24.5,,81.5,12,Feldman,,
Bay,,10-11-1995,2.4,8.69,7.2,0.3,0.75,17.5,,58.64,15.21,Feldman,,
Bay,,10/20/1995,2.2,9.71,7.6,0.35,0.73,15,,56.48,11.31,Feldman,,
Bay,,10/23/1995,4.5,11.6,9,0.4,0.8,18.5,,68.9,21.36,Feldman,,
Bay,,10/26/1995,2.8,8.15,6.7,0.38,0.75,19,,67.28,6.43,Feldman,,
Bay,,10/30/1995,4.5,9.9,8.5,0.45,0.75,14,,59.9,21.36,Feldman,,
Bay,,11-06-1995,4,11.8,8.5,0.55,0.55,9.5,,51.8,19.12,Feldman,,
Bay,,11/13/1995,4.5,11.3,8.1,0.55,0.7,9.5,,57.2,4.48,Feldman,,
Bay,,11/20/1995,4,11.8,8.4,0.55,0.55,8,,50.9,21.36,Feldman,,
Bay,,11/27/1995,4,9.5,8.1,0.75,0.75,10,,48.2,4.48,Feldman,,
Bay,,12-11-1995,,,,,,,,28.4,9.36,Feldman,,
Bay,,1/22/1996,4,11.7,7.4,0.4,0.55,4,,39.2,4.48,"Strader, Pease, Feldman",,
Bay,,1/29/1996,3.5,11.2,7.2,0.35,0.65,4,,42.8,19.12,"Strader, Pease, Feldman",,
Bay,,02-12-1996,3.5,10.8,7.1,0.35,0.6,5,,44.6,14.24,"Strader, Pease, Feldman",,
Bay,,2/26/1996,3,8.7,7.1,0.2,0.75,10.5,,60.8,19.12,"Strader, Pease, Feldman",,
Bay,,03-04-1996,3,11.5,7.4,0.3,0.45,3.5,,38.3,7.12,"Strader, Pease, Feldman",,
Bay,,03-11-1996,,,,0.05,0.05,,,38.3,7.12,"Strader, Pease, Feldman",,
Bay,,3/18/1996,3,10.1,7,0.4,0.45,7.5,,44.6,14.24,"Strader, Pease, Feldman",,
Bay,,3/25/1996,3,10,7.2,0.35,0.7,10,,61.7,N/A,"Strader, Pease, Feldman",,
Bay,,04-08-1996,3,10.7,7.3,0.35,0.55,8,,42.8,19.12,"Strader, Pease, Feldman",,
Bay,,4/22/1996,3,9.2,8.2,0.4,0.95,21,,71.6,14.24,"Strader, Pease, Feldman",,
Bay,,4/29/1996,3,8.9,8,0.45,0.85,18,,69.8,19.12,"Strader, Pease, Feldman",,
Bay,,5/13/1996,3,9.2,8.1,0.3,0.7,17,,57.2,4.48,"Strader, Pease, Feldman",,
Bay,,5/20/1996,3,9,8.8,0.4,0.75,28,,86,,"Strader, Pease, Feldman",,
Bay,,5/27/1996,3,9.6,8.6,0.25,0.6,19,,63.5,12,"Strader, Pease, Feldman",,
